condition,task,acc,f1,auroc
LSTM_wearable_only,fertility,0.5928500496524329,0.40058479532163743,0.5950024658885418
XGB_wearable_only,fertility,0.7030784508440914,0.26894865525672373,0.5537837689736423
LSTM_hormone_only,fertility,0.7199602780536246,0.4758364312267658,0.7355581127733026
XGB_hormone_only,fertility,0.7984111221449851,0.5290023201856149,0.7566770781960656
LSTM_selfreport_only,fertility,0.5322740814299901,0.33755274261603374,0.5063126746671051
XGB_selfreport_only,fertility,0.634558093346574,0.28957528957528955,0.5221792974957532
LSTM_wear_hormone,fertility,0.7249255213505462,0.546644844517185,0.8025974025974028
XGB_wear_hormone,fertility,0.8053624627606752,0.5025380710659898,0.7840046029919447
LSTM_wear_selfreport,fertility,0.6166832174776564,0.404320987654321,0.5925256178420736
XGB_wear_selfreport,fertility,0.6931479642502483,0.29931972789115646,0.5616800920598389
LSTM_hormone_selfreport,fertility,0.717974180734856,0.4855072463768116,0.7058742944818893
XGB_hormone_selfreport,fertility,0.7894736842105263,0.47783251231527096,0.7659542988656913
LSTM_all_modalities,fertility,0.7000993048659384,0.48639455782312924,0.7523316346101157
XGB_all_modalities,fertility,0.8123138033763655,0.509090909090909,0.7820812099293111
